bucket,order,section,title,htmlFile,htmlUrl,sourceUrl
ai-designer,22,chapter-05,Lesson4 初回通常応募2件を完了する,assets/materials/ai-designer/html/nf4sp.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/nf4sp.html,https://learn.webcoach.jp/ai-designer/chapter-05/nf4sP
ai-designer,23,chapter-05,Lesson2 ChatGPTで業務テキストを生成する,assets/materials/ai-designer/html/rulkk.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/rulkk.html,https://learn.webcoach.jp/ai-designer/chapter-05/rULKk
ai-designer,24,chapter-05,Lesson5 バナーコンペに初挑戦する,assets/materials/ai-designer/html/ulmuh.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/ai-designer/ulmuh.html,https://learn.webcoach.jp/ai-designer/chapter-05/ulmuH
business-skill,0,コラム,コラム：これから求められるWEBクリエイターとは？,assets/materials/business-skill/html/er0se.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/er0se.html,https://learn.webcoach.jp/business-skill/%E3%82%B3%E3%83%A9%E3%83%A0/er0se
business-skill,1,コラム,コラム：継続して活躍できる人のマインドセット,assets/materials/business-skill/html/z79nc.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/z79nc.html,https://learn.webcoach.jp/business-skill/%E3%82%B3%E3%83%A9%E3%83%A0/z79Nc
business-skill,2,攻略論,エンド営業 -攻略論-,assets/materials/business-skill/html/zo57v.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/zo57v.html,https://learn.webcoach.jp/business-skill/%E6%94%BB%E7%95%A5%E8%AB%96/ZO57v
business-skill,3,攻略論,クラウドソーシング -攻略論-,assets/materials/business-skill/html/dkq7c.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/dkq7c.html,https://learn.webcoach.jp/business-skill/%E6%94%BB%E7%95%A5%E8%AB%96/dkQ7C
business-skill,4,攻略論,WEB制作会社営業 -攻略論-,assets/materials/business-skill/html/tqg7r.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/tqg7r.html,https://learn.webcoach.jp/business-skill/%E6%94%BB%E7%95%A5%E8%AB%96/tQG7r
business-skill,5,案件提供,案件：新規商品企画～ランディングページ制作,assets/materials/business-skill/html/vnqew.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/vnqew.html,https://learn.webcoach.jp/business-skill/%E6%A1%88%E4%BB%B6%E6%8F%90%E4%BE%9B/VNQEW
business-skill,6,案件提供,【受講生向け】案件提供マニュアル,assets/materials/business-skill/html/gtnov.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/gtnov.html,https://learn.webcoach.jp/business-skill/%E6%A1%88%E4%BB%B6%E6%8F%90%E4%BE%9B/gTNov
business-skill,7,案件提供,案件：新規商品企画～ホームページ制作,assets/materials/business-skill/html/sumch.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/sumch.html,https://learn.webcoach.jp/business-skill/%E6%A1%88%E4%BB%B6%E6%8F%90%E4%BE%9B/sumch
business-skill,8,案件獲得準備,フリーランスにおすすめのサービス,assets/materials/business-skill/html/99sgb.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/99sgb.html,https://learn.webcoach.jp/business-skill/%E6%A1%88%E4%BB%B6%E7%8D%B2%E5%BE%97%E6%BA%96%E5%82%99/99SGB
business-skill,9,案件獲得準備,法務知識,assets/materials/business-skill/html/bqulu.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/bqulu.html,https://learn.webcoach.jp/business-skill/%E6%A1%88%E4%BB%B6%E7%8D%B2%E5%BE%97%E6%BA%96%E5%82%99/bQUlU
business-skill,10,案件獲得準備,税務知識,assets/materials/business-skill/html/ceikt.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/ceikt.html,https://learn.webcoach.jp/business-skill/%E6%A1%88%E4%BB%B6%E7%8D%B2%E5%BE%97%E6%BA%96%E5%82%99/ceIkT
business-skill,11,案件獲得準備,おすすめ案件紹介サービス一覧,assets/materials/business-skill/html/k0qjx.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/k0qjx.html,https://learn.webcoach.jp/business-skill/%E6%A1%88%E4%BB%B6%E7%8D%B2%E5%BE%97%E6%BA%96%E5%82%99/k0qJX
business-skill,12,案件獲得準備,見積書・納品書・請求書・領収書,assets/materials/business-skill/html/mcqfr.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/mcqfr.html,https://learn.webcoach.jp/business-skill/%E6%A1%88%E4%BB%B6%E7%8D%B2%E5%BE%97%E6%BA%96%E5%82%99/mcqfR
business-skill,13,案件獲得準備,開業届の基礎,assets/materials/business-skill/html/w02uu.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/w02uu.html,https://learn.webcoach.jp/business-skill/%E6%A1%88%E4%BB%B6%E7%8D%B2%E5%BE%97%E6%BA%96%E5%82%99/w02Uu
business-skill,14,概論,WEB制作案件の仕事の流れ,assets/materials/business-skill/html/w0h8e.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/w0h8e.html,https://learn.webcoach.jp/business-skill/%E6%A6%82%E8%AB%96/W0h8e
business-skill,15,概論,案件獲得ガイドブック,assets/materials/business-skill/html/iutvw.html,https://dmn2v7nl0g3fq.cloudfront.net/branches/dev-kanegae/lesson-html/business-skill/iutvw.html,https://learn.webcoach.jp/business-skill/%E6%A6%82%E8%AB%96/iUtVw
